                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                            model_number                                num_zones                                 star_age                                star_mass                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                                    log_R                              num_retries                                num_iters 
                                       1                                      672                  1.0000000000000001E-005                  1.4725010000000001E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8624021201512452E-001                                        0                                        4 
                                     100                                      676                  4.1408986761007136E+003                  1.4725010000000001E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8535226617138044E-001                                        0                                        3 
                                     200                                      852                  5.2923998869354695E+008                  1.4725010000000001E+000                                        3                  4.0431247075937989E-002                                        2                  1.2119204061629067E-001                                        1                  1.9563609085170855E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.7025962056158303E-001                                        0                                        5 
                                     300                                      983                  2.1137889668221974E+009                  1.4725010000000001E+000                                        0                  1.0527078217483046E-002                                        1                  2.4253072642591470E-002                                        2                  3.1079872754675129E-002                                        3                  3.1374763178923321E-002                                        2                  3.1798856225676506E-002                                        3                  4.4390012413155343E-002                                        2                  7.6092572077391119E-002                                        1                  1.3704658901113811E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.4079415722047618E-001                                        0                                        5 
                                     400                                     1240                  2.5302756673709812E+009                  1.4725010000000001E+000                                        0                  8.4056412204728103E-003                                        1                  8.5994172205438053E-003                                        2                  8.8402323337288622E-003                                        3                  9.1695913062761012E-003                                        4                  1.1170394441133444E-002                                        3                  1.2996574949543897E-002                                        2                  1.6320551979279816E-002                                        1                  2.4129214713101803E-002                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  5.5886337740916792E-001                                        0                                        5 
                                     500                                     1305                  2.6269608404418006E+009                  1.4725010000000001E+000                                        0                  5.6916558792022010E-003                                        1                  5.7843197803678810E-003                                        2                  5.8975568356339570E-003                                        3                  6.0447720235122489E-003                                        4                  6.2906660968368106E-003                                        5                  6.8599916040229959E-003                                        4                  7.7468865583348806E-003                                        3                  8.9266743369434617E-003                                        2                  1.0963984717336422E-002                                        1                  1.7284259645624155E-002                  7.0008142045908084E-001                                        0                                        5 
                                     600                                     1352                  2.6722365593752122E+009                  1.4725010000000001E+000                                        0                  4.4137309500680870E-003                                        1                  4.4773950661712398E-003                                        2                  4.5544277956115400E-003                                        3                  4.6525713326148674E-003                                        4                  4.7965189336347663E-003                                        5                  5.4786932910375896E-003                                        4                  6.1467146587974725E-003                                        3                  7.0546340677384179E-003                                        2                  8.5517152041023805E-003                                        1                  1.3196429051233116E-002                  8.0070311262189597E-001                                        0                                        5 
                                     700                                     1380                  2.6987607160753422E+009                  1.4725010000000001E+000                                        0                  3.5929350111002646E-003                                        1                  3.6409742867019724E-003                                        2                  3.6988799104581980E-003                                        3                  3.7715674018488051E-003                                        4                  3.8731572719964088E-003                                        5                  4.5562483995510092E-003                                        4                  5.1075673755720044E-003                                        3                  5.8467957644372627E-003                                        2                  7.0224120159220575E-003                                        1                  1.0707441438839076E-002                  8.8434770454446165E-001                                        0                                        5 
                                     800                                     1400                  2.7159885722444525E+009                  1.4725010000000001E+000                                        0                  3.0159431244373186E-003                                        1                  3.0541368841069377E-003                                        2                  3.0998599571191643E-003                                        3                  3.1568813885585151E-003                                        4                  3.2343101909808750E-003                                        5                  3.8933554102340844E-003                                        4                  4.3670716752692062E-003                                        3                  4.9893880945128151E-003                                        2                  5.9577387947409750E-003                                        1                  9.0210236215080754E-003                  9.5641392068011055E-001                                        0                                        5 
