                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                            model_number                                num_zones                                 star_age                                star_mass                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                                    log_R                              num_retries                                num_iters 
                                       1                                      670                  1.0000000000000001E-005                  1.0215424000000000E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.4613946661701545E-001                                        0                                        2 
                                     100                                      675                  4.1408986761007136E+003                  1.0215424000000000E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  3.4547024503597357E-001                                        0                                        2 
                                     200                                      764                  1.3589964916005354E+009                  1.0215424000000000E+000                                        2                  1.1397819496325610E-001                                        1                  2.1197914109301652E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.3773118164088121E-002                                        0                                        5 
                                     300                                      817                  5.3636519044083414E+009                  1.0215424000000000E+000                                        0                  1.1157157998912310E-002                                        1                  2.1138314667529943E-002                                        2                  8.7664659515287721E-002                                        1                  1.5156689133157017E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.5654184776316768E-001                                        0                                        5 
                                     400                                     1166                  6.7276351535266085E+009                  1.0215424000000000E+000                                        0                  1.0567354375589769E-002                                        1                  1.0941733694286637E-002                                        2                  1.1421147945704048E-002                                        3                  1.2199615187226905E-002                                        4                  1.3713495004203368E-002                                        3                  1.6158410893602596E-002                                        2                  2.1623856518376915E-002                                        1                  3.2446790682227854E-002                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.6139362236393811E-001                                        0                                        5 
                                     500                                     1283                  6.9044364088709173E+009                  1.0215424000000000E+000                                        0                  5.9326976794461129E-003                                        1                  6.0455754056398855E-003                                        2                  6.1859644088648443E-003                                        3                  6.3745218171547520E-003                                        4                  6.8497657417351332E-003                                        5                  6.9436304860116113E-003                                        4                  8.0273199877119918E-003                                        3                  9.2453654502455372E-003                                        2                  1.1846313260176961E-002                                        1                  1.9149747811196459E-002                  6.7562551315985386E-001                                        0                                        5 
                                     600                                     1364                  6.9645357498169270E+009                  1.0215424000000000E+000                                        0                  4.2435836981014070E-003                                        1                  4.3108106092504175E-003                                        2                  4.3933085492938520E-003                                        3                  4.5000731024608239E-003                                        4                  4.6663231323407599E-003                                        5                  5.3050918871131595E-003                                        4                  5.9177471691089761E-003                                        3                  6.7973123566729046E-003                                        2                  8.5476715169460846E-003                                        1                  1.3759598638782367E-002                  8.0948443421921956E-001                                        0                                        5 
                                     700                                     1441                  6.9946564646078596E+009                  1.0215424000000000E+000                                        0                  3.3018725222142982E-003                                        1                  3.3490725195058895E-003                                        2                  3.4063148490886697E-003                                        3                  3.4790720405532892E-003                                        4                  3.5834002890066941E-003                                        5                  4.2497842025232260E-003                                        4                  4.7210723007344380E-003                                        3                  5.4145759508672023E-003                                        2                  6.7262327112073365E-003                                        1                  1.0843545403806857E-002                  9.1184282925105054E-001                                        0                                        5 
                                     800                                     1476                  7.0125496521036062E+009                  1.0215424000000000E+000                                        0                  2.7036017730852403E-003                                        1                  2.7395440165782882E-003                                        2                  2.7828165150780792E-003                                        3                  2.8371680485276786E-003                                        4                  2.9121419610719243E-003                                        5                  3.5538453218819468E-003                                        4                  3.9470590834873396E-003                                        3                  4.5210307022199364E-003                                        2                  5.5725458270418325E-003                                        1                  6.9182820296640824E-003                  9.9399898217669214E-001                                        0                                        5 
                                     900                                     1492                  7.0243814830820522E+009                  1.0215424000000000E+000                                        0                  2.3080084061324582E-003                                        1                  2.3369382578231632E-003                                        2                  2.3715760471978821E-003                                        3                  2.4148098547826960E-003                                        4                  2.4730698529748579E-003                                        5                  2.6019905668232743E-003                                        6                  2.7098419465077920E-003                                        5                  3.0795966299658794E-003                                        4                  3.4218613686307024E-003                                        3                  3.9128165939990543E-003                  1.0585666962961187E+000                                        0                                        5 
                                    1000                                     1535                  7.0338227870822392E+009                  1.0215424000000000E+000                                        0                  2.1931026290025577E-003                                        1                  2.2187876091164403E-003                                        2                  2.2493839467011625E-003                                        3                  2.2876217034437478E-003                                        4                  2.3384615517605843E-003                                        5                  2.4368673504632085E-003                                        6                  2.5969542633855701E-003                                        5                  2.9087479574082939E-003                                        4                  3.2181869753824780E-003                                        3                  3.6574198824751761E-003                  1.0705949454008650E+000                                        0                                        5 
