                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                            model_number                                num_zones                                 star_age                                star_mass                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                                    log_R                              num_retries                                num_iters 
                                       1                                      667                  1.0000000000000001E-005                  1.3782212000000000E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.7541324330279910E-001                                        0                                        2 
                                     100                                      669                  4.1408986761007136E+003                  1.3782212000000000E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.7442951008073714E-001                                        0                                        2 
                                     200                                      849                  5.2932837173884761E+008                  1.3782212000000000E+000                                        3                  3.1266900660816145E-002                                        2                  1.2880174511870474E-001                                        1                  2.0530827098927334E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.2995179418274749E-001                                        0                                        5 
                                     300                                     1031                  2.2382630036325312E+009                  1.3782212000000000E+000                                        0                  7.5544222898462042E-003                                        1                  2.5222141044966971E-002                                        2                  3.3759936772631970E-002                                        3                  4.6804222794114912E-002                                        2                  8.5377818763574087E-002                                        1                  1.4784257978887780E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.8679202364492323E-001                                        0                                        5 
                                     400                                     1207                  2.7662334408581805E+009                  1.3782212000000000E+000                                        0                  8.4028101054021871E-003                                        1                  8.6154107491404636E-003                                        2                  8.8803994092579910E-003                                        3                  9.2492633615757491E-003                                        4                  1.1233969363768448E-002                                        3                  1.3110977863214813E-002                                        2                  1.6734932855666459E-002                                        1                  2.4767319266578044E-002                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  5.5692636567312193E-001                                        0                                        5 
                                     500                                     1287                  2.8668883264351377E+009                  1.3782212000000000E+000                                        0                  5.4540099007430653E-003                                        1                  5.5456399626064214E-003                                        2                  5.6582512270201809E-003                                        3                  5.8054227952715745E-003                                        4                  6.0555832955541660E-003                                        5                  6.6246165683379668E-003                                        4                  7.4731713138470853E-003                                        3                  8.6206117422861443E-003                                        2                  1.0729927898667828E-002                                        1                  1.6907282919012962E-002                  7.1424309792661689E-001                                        0                                        5 
                                     600                                     1345                  2.9108265359716945E+009                  1.3782212000000000E+000                                        0                  4.1547933597522648E-003                                        1                  4.2159530163130314E-003                                        2                  4.2903026901386313E-003                                        3                  4.3853600836079283E-003                                        4                  4.5255224664960741E-003                                        5                  5.2148984081797660E-003                                        4                  5.8320834122426888E-003                                        3                  6.7012788166811738E-003                                        2                  8.2252520241844346E-003                                        1                  1.2701557309307849E-002                  8.2240090245995323E-001                                        0                                        5 
                                     700                                     1416                  2.9356445638899279E+009                  1.3782212000000000E+000                                        0                  3.3480612644360436E-003                                        1                  3.3935083678662509E-003                                        2                  3.4483752761895613E-003                                        3                  3.5176443752406405E-003                                        4                  3.6145383023980932E-003                                        5                  4.2990306634076688E-003                                        4                  4.8021472175976999E-003                                        3                  5.5046776218934043E-003                                        2                  6.6911934456691550E-003                                        1                  1.0243070413834909E-002                  9.1041937466330336E-001                                        0                                        5 
                                     800                                     1449                  2.9514223118259377E+009                  1.3782212000000000E+000                                        0                  2.7940970052433732E-003                                        1                  2.8299735917317391E-003                                        2                  2.8729418102338995E-003                                        3                  2.9266963518459290E-003                                        4                  2.9997244440460513E-003                                        5                  3.6546517595034394E-003                                        4                  4.0849659710233766E-003                                        3                  4.6742505684446685E-003                                        2                  5.6497339256645985E-003                                        1                  8.6053007903208641E-003                  9.8498466784492800E-001                                        0                                        5 
