                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250102"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                            model_number                                num_zones                                 star_age                                star_mass                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                                    log_R                              num_retries                                num_iters 
                                       1                                      674                  1.0000000000000001E-005                  1.3176483999999999E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.4298882280555740E-001                                        0                                        2 
                                     100                                      676                  4.1408986761007136E+003                  1.3176483999999999E+000                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.4217615588306153E-001                                        0                                        2 
                                     200                                      802                  6.8079727034375322E+008                  1.3176483999999999E+000                                        3                  7.1778107721190941E-003                                        2                  1.1955856063936157E-001                                        1                  1.9631445023691013E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  1.3291905155060627E-001                                        0                                        5 
                                     300                                      959                  2.7294827361177406E+009                  1.3176483999999999E+000                                        0                  1.0894958223074128E-002                                        1                  2.6160963177830523E-002                                        2                  3.3821725059651996E-002                                        3                  4.3561418170897898E-002                                        2                  8.1287115490480941E-002                                        1                  1.3786713760085112E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.8422760061286800E-001                                        0                                        5 
                                     400                                     1210                  3.4165922489212251E+009                  1.3176483999999999E+000                                        0                  9.0875986610857527E-003                                        1                  9.3269725721470288E-003                                        2                  9.6259326319387255E-003                                        3                  1.0049297129846537E-002                                        4                  1.1980824609814247E-002                                        3                  1.3972019766736260E-002                                        2                  1.7848802939819709E-002                                        1                  2.6483810449971938E-002                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  5.2640566909434405E-001                                        0                                        5 
                                     500                                     1290                  3.5360793028310218E+009                  1.3176483999999999E+000                                        0                  5.8403595470623796E-003                                        1                  5.9411197254787594E-003                                        2                  6.0652132905425838E-003                                        3                  6.2281647163647319E-003                                        4                  6.5223265973234461E-003                                        5                  7.0003085919505947E-003                                        4                  7.9096137878570810E-003                                        3                  9.1141354533854219E-003                                        2                  1.1328302087775969E-002                                        1                  1.8046537052740536E-002                  6.8801746349092852E-001                                        0                                        5 
                                     600                                     1349                  3.5867688302222276E+009                  1.3176483999999999E+000                                        0                  4.4058299604638126E-003                                        1                  4.4719061539701364E-003                                        2                  4.5523611475720262E-003                                        3                  4.6555986614568523E-003                                        4                  4.8103754355146976E-003                                        5                  5.4745140889015578E-003                                        4                  6.1212444318399393E-003                                        3                  7.0268080518546541E-003                                        2                  8.6020904213606458E-003                                        1                  1.3466502085966782E-002                  8.0006459997200996E-001                                        0                                        5 
                                     700                                     1429                  3.6148464803367443E+009                  1.3176483999999999E+000                                        0                  3.5211531005068511E-003                                        1                  3.5697081474985537E-003                                        2                  3.6282991604057444E-003                                        3                  3.7024476432521349E-003                                        4                  3.8070763443297725E-003                                        5                  4.4803832232176025E-003                                        4                  5.0038609113316791E-003                                        3                  5.7305995061271405E-003                                        2                  6.9400914046096260E-003                                        1                  1.0775846602387259E-002                  8.9141935826292640E-001                                        0                                        5 
                                     800                                     1468                  3.6324496033323770E+009                  1.3176483999999999E+000                                        0                  2.9205445145039535E-003                                        1                  2.9584769185347403E-003                                        2                  3.0039682400198275E-003                                        3                  3.0609740061291707E-003                                        4                  3.1388337114457636E-003                                        5                  3.7877879979136180E-003                                        4                  4.2334062895623770E-003                                        3                  4.8395381058209952E-003                                        2                  5.8220456535465525E-003                                        1                  8.9972179670424739E-003                  9.6843796324403930E-001                                        0                                        5 
